index,qtime_ms,wall_ms,numFound,error
342,4428,4538,28762,
343,3740,3846,77780,
344,4153,4351,86391,
345,4099,4210,85973,
346,3481,3598,26062,
347,2401,2514,63594,
348,3439,3602,25774,
349,3287,3441,77920,
350,4163,4270,57159,
351,4102,4216,28735,
352,2422,2531,20933,
353,2476,2603,20910,
354,2427,2547,41981,
355,2482,2591,63425,
356,2427,2537,63233,
357,4392,4499,57416,
358,2475,2622,62865,
359,3203,3316,77770,
360,2475,2584,63385,
361,4292,4512,29097,
362,3703,3922,77704,
363,4305,4482,29008,
364,3323,3549,51956,
365,3410,3527,51634,
366,3460,3620,77700,
367,3329,3436,77738,
368,3386,3495,25951,
369,2479,2598,41936,
370,2539,2684,42362,
371,2309,2456,63239,
372,4351,4463,28707,
373,3463,3569,52170,
374,2303,2411,63258,
375,3307,3413,25789,
376,4311,4421,85840,
377,3678,3786,25787,
378,3356,3464,25860,
379,2563,2676,21019,
380,2513,2622,63351,
381,4322,4432,86213,
382,2319,2432,63184,
383,4160,4272,57668,
384,3486,3595,78106,
385,4173,4380,57791,
386,2547,2658,62924,
387,4384,4492,58151,
388,2486,2596,42355,
389,4253,4360,57699,
390,2314,2423,63528,
391,2397,2506,42128,
392,3266,3383,25859,
393,2280,2418,42119,
394,2334,2448,42126,
395,3404,3512,77644,
396,2234,2341,63336,
397,2317,2424,42182,
398,4627,4734,57531,
399,2550,2657,63110,
400,3277,3391,52044,
401,3541,3649,77645,
402,2475,2586,21095,
403,3970,4083,86304,
404,3411,3517,51560,
405,4200,4311,86530,
406,3252,3372,51712,
407,4335,4442,28986,
408,3185,3303,77779,
409,3979,4106,57630,
410,2388,2504,62796,
411,4165,4275,86638,
412,4060,4169,57699,
413,2333,2443,42167,
414,4279,4389,57562,
415,2437,2543,63429,
416,3455,3572,51579,
417,4368,4477,28628,
418,2383,2505,63035,
419,2279,2386,21082,
420,2490,2600,42162,
421,3489,3609,25756,
422,3433,3544,77488,
423,2289,2417,21062,
424,4140,4250,87141,
425,4093,4200,86410,
426,2497,2606,62991,
427,2432,2543,42133,
428,3400,3529,77436,
429,2425,2540,62896,
430,2363,2470,21133,
431,3437,3545,77480,
432,4375,4486,29006,
433,4251,4359,86495,
434,3346,3573,77397,
435,3281,3389,77673,
436,2515,2639,21155,
437,4130,4238,86690,
438,3329,3435,25912,
439,2508,2616,63240,
440,3494,3601,51693,
441,2514,2626,20792,
442,3505,3615,51469,
443,4429,4537,86596,
444,4080,4189,86629,
445,2430,2537,21301,
446,3202,3314,25945,
447,4506,4613,28851,
448,3527,3635,77671,
449,3327,3468,77878,
450,4459,4570,57470,
451,4089,4198,57852,
452,4456,4565,28584,
453,2578,2687,41999,
454,3264,3379,78005,
455,4292,4399,86453,
456,4366,4476,57486,
457,2472,2582,63214,
458,2373,2490,42212,
459,2650,2763,62782,
460,2417,2527,21102,
461,4396,4508,57487,
462,4472,4580,28640,
463,4263,4377,57552,
464,2330,2438,42175,
465,2418,2539,42146,
466,2296,2411,21067,
467,2395,2599,42089,
468,3333,3443,51693,
469,2386,2494,63377,
470,2301,2414,42289,
471,2451,2560,42165,
472,3222,3348,51621,
473,2448,2558,63296,
474,2464,2586,42193,
475,3231,3339,51879,
476,4093,4203,85813,
477,3371,3489,51640,
478,2332,2440,63012,
479,2303,2411,41999,
480,2420,2528,62926,
481,4183,4290,28856,
482,4141,4283,86316,
483,2443,2554,42319,
484,2489,2627,42098,
485,4391,4507,28985,
486,2451,2565,41547,
487,3233,3346,51818,
488,2393,2501,21091,
489,2520,2645,21189,
490,3277,3386,51662,
491,3228,3356,25871,
492,2615,2721,42078,
493,4348,4458,28837,
494,4120,4337,57681,
495,3421,3529,51712,
496,3347,3459,77398,
497,1676,1782,63601,
498,2504,2611,25723,
499,3151,3263,86465,
