index,qtime_ms,wall_ms,numFound,error
0,2600,3702,87121,
1,1458,2531,20863,
2,2045,2158,77563,
3,1414,1526,42427,
4,1383,1503,63462,
5,1365,1477,21149,
6,1361,1502,42001,
7,2460,2572,58030,
8,2550,2664,57167,
9,1429,1546,42369,
10,2011,2147,52138,
11,2582,2697,28662,
12,2029,2256,51972,
13,1437,1639,63308,
14,2630,2745,57634,
15,1377,1489,20944,
16,1404,1520,42034,
17,1955,2074,77564,
18,2478,2590,28731,
19,1342,1470,20880,
20,2483,2595,57644,
21,1341,1488,63074,
22,1351,1465,42263,
23,2684,2795,28865,
24,2143,2258,77624,
25,2673,2790,28718,
26,2642,2755,86581,
27,1427,1538,62972,
28,2061,2237,51454,
29,2022,2134,77327,
30,2575,2688,57815,
31,1558,1670,42280,
32,2560,2677,28876,
33,1381,1567,63340,
34,2514,2630,58050,
35,1378,1582,62952,
36,2021,2151,25719,
37,1349,1460,63296,
38,2618,2729,86397,
39,2072,2188,25673,
40,2671,2783,57377,
41,1373,1605,41725,
42,2557,2731,86089,
43,2510,2706,57962,
44,2529,2640,86904,
45,2018,2129,25966,
46,1545,1762,21224,
47,2629,2739,57734,
48,1393,1504,63595,
49,2017,2133,51922,
50,2005,2121,77542,
51,2685,2797,86248,
52,2649,2761,86634,
53,2025,2154,25853,
54,1368,1483,21113,
55,2009,2123,51577,
56,2634,2747,57752,
57,1420,1655,63241,
58,2090,2216,25911,
59,1447,1570,63758,
60,1425,1536,42465,
61,2600,2717,57950,
62,1421,1533,63042,
63,2027,2139,77667,
64,2020,2135,25825,
65,2093,2215,25821,
66,1482,1592,42275,
67,2021,2142,25777,
68,2580,2767,28804,
69,1432,1560,41925,
70,2678,2790,28805,
71,2090,2202,51821,
72,1380,1511,42281,
73,1969,2123,26001,
74,1973,2085,25904,
75,1370,1482,42090,
76,2516,2690,86173,
77,2532,2643,57773,
78,1396,1508,42151,
79,2717,2828,28576,
80,2679,2791,28827,
81,2664,2773,28985,
82,1431,1545,20848,
83,1437,1547,63482,
84,1455,1566,20934,
85,2579,2690,57832,
86,1490,1600,42261,
87,2567,2679,86530,
88,1436,1547,63418,
89,1348,1490,42000,
90,2497,2609,57585,
91,1347,1459,21027,
92,2589,2806,86557,
93,2003,2116,51611,
94,2680,2798,86544,
95,2065,2177,25895,
96,2529,2641,86334,
97,1366,1484,42538,
98,1979,2089,51454,
99,1365,1493,21065,
100,1362,1474,62586,
101,2490,2698,57765,
102,1942,2058,51836,
103,2583,2694,28680,
104,1364,1490,42351,
105,1356,1470,42407,
106,1327,1443,21240,
107,1336,1455,21285,
108,1396,1609,21143,
109,2008,2119,51881,
110,1981,2092,51983,
111,1397,1507,42316,
112,1951,2093,25787,
113,1358,1508,63174,
114,1388,1498,63245,
115,2545,2675,86360,
116,2048,2158,51821,
117,2062,2291,51811,
118,1411,1549,21116,
119,1373,1515,21024,
120,1359,1469,63486,
121,2556,2732,87088,
122,2025,2141,77303,
123,1367,1478,62960,
124,2102,2213,25998,
125,1473,1584,41869,
