round,index,qtime_ms,wall_ms,numFound,error
2,98,1586,1603,20971,
2,99,2497,2571,57533,
3,0,5192,5211,86196,
3,1,5287,5311,57740,
3,2,4389,4528,57632,
3,3,4815,4850,28897,
3,4,3386,3406,25853,
3,5,3426,3451,77659,
3,6,3556,3615,25955,
3,7,2669,2687,63289,
3,8,2604,2649,63282,
3,9,4161,4190,86551,
3,10,4110,4128,77510,
3,11,3471,3491,77581,
3,12,2280,2297,63016,
3,13,3103,3124,26114,
3,14,3978,3996,86303,
3,15,3984,4003,57614,
3,16,3222,3251,26014,
3,17,3526,3549,86709,
3,18,1980,1997,21088,
3,19,1976,2004,41954,
3,20,3494,3514,58065,
3,21,2005,2026,21359,
3,22,2869,2886,51768,
3,23,1980,1999,63195,
3,24,2794,2812,51786,
3,25,2896,3009,25782,
3,26,1953,1973,42203,
3,27,3533,3595,86718,
3,28,1982,2043,41937,
3,29,1978,1997,42024,
3,30,3631,3657,86738,
3,31,2153,2175,42423,
3,32,3731,3752,86399,
3,33,2172,2189,42202,
3,34,2905,2931,25923,
3,35,2055,2092,41915,
3,36,3020,3108,52258,
3,37,1988,2007,41996,
3,38,2851,2868,51664,
3,39,1995,2013,63294,
3,40,2861,2884,25756,
3,41,1957,2020,42040,
3,42,1968,1991,41748,
3,43,3558,3576,86166,
3,44,3589,3686,86619,
3,45,3532,3550,85995,
3,46,3492,3521,57510,
3,47,1921,1985,63085,
3,48,3636,3686,86347,
3,49,2772,2793,26015,
3,50,3464,3482,57712,
3,51,1946,1966,42265,
3,52,3643,3661,57340,
3,53,1960,1978,42434,
3,54,1950,2050,42233,
3,55,1915,1956,21374,
3,56,2814,2846,77622,
3,57,2036,2054,42260,
3,58,2749,2769,52028,
3,59,3677,3697,86349,
3,60,2789,2864,77688,
3,61,3536,3554,28932,
3,62,3583,3634,57865,
3,63,2883,2902,51879,
3,64,3484,3507,29044,
3,65,2010,2027,21107,
3,66,3644,3661,28854,
3,67,2902,2920,51925,
3,68,2813,2883,51685,
3,69,2043,2060,20874,
3,70,2093,2115,42334,
3,71,2944,2962,51500,
3,72,3858,3891,57597,
3,73,2993,3011,25986,
3,74,2033,2058,63176,
3,75,2053,2072,63151,
3,76,3670,3717,57957,
3,77,2018,2039,42168,
3,78,2966,3001,25853,
3,79,2880,2897,77305,
3,80,2832,2849,77478,
3,81,2010,2029,21001,
3,82,2863,2892,26054,
3,83,2046,2077,20982,
3,84,3596,3614,57591,
3,85,2943,2962,51876,
3,86,1957,1975,63362,
3,87,2883,2901,77268,
3,88,2022,2054,21169,
3,89,1959,1999,21180,
3,90,2746,2782,25694,
3,91,1985,2025,63666,
3,92,2732,2756,25759,
3,93,2006,2022,62796,
3,94,3624,3641,28778,
3,95,2764,2781,52086,
3,96,3552,3572,86498,
3,97,2024,2050,21038,
3,98,2379,2422,28943,
3,99,1612,1631,21153,
4,0,3717,3737,57559,
4,1,2273,2294,20970,
4,2,3892,3940,86722,
4,3,3279,3301,51716,
4,4,3350,3380,57329,
4,5,1884,1908,20927,
4,6,2608,2628,51607,
4,7,2694,2713,51938,
4,8,3461,3546,28701,
4,9,2688,2706,52088,
4,10,1915,1934,41682,
4,11,3799,3843,86741,
4,12,2249,2295,63072,
4,13,3082,3099,26196,
4,14,3531,3839,57777,
4,15,1972,1992,21223,
4,16,1947,1967,63006,
4,17,1919,1937,21010,
4,18,2709,2744,25812,
4,19,3521,3538,86238,
4,20,2690,2710,78071,
4,21,2748,2766,25776,
4,22,2692,2735,77579,
4,23,1887,1906,63229,
4,24,2782,2800,52226,
4,25,1928,1949,21217,
4,26,2769,2804,51394,
4,27,3838,3893,28628,
4,28,2570,2602,77464,
4,29,2705,2723,77928,
4,30,3643,3662,57716,
4,31,2081,2151,41898,
4,32,2005,2025,63395,
4,33,3810,3890,58009,
4,34,3455,3473,28926,
4,35,2010,2103,42025,
4,36,3443,3505,57260,
4,37,1888,1908,62530,
4,38,2641,2663,77723,
4,39,3394,3489,86802,
4,40,3344,3365,28583,
4,41,1829,1879,63216,
4,42,3364,3484,57412,
4,43,1909,1926,62918,
4,44,3400,3418,57650,
4,45,3506,3524,28773,
4,46,3496,3514,86006,
4,47,3437,3454,85885,
4,48,1940,1956,21108,
4,49,1919,1940,42121,
4,50,1902,2032,21185,
4,51,1771,1812,21108,
4,52,3552,3569,86018,
4,53,2770,2787,51685,
4,54,3456,3484,29002,
4,55,1909,1931,63112,
4,56,3393,3412,28773,
4,57,1907,1926,42061,
4,58,1940,1964,42113,
4,59,1919,1938,20892,
4,60,2639,2656,77942,
4,61,2743,2762,25920,
4,62,2639,2668,25646,
4,63,3386,3411,86430,
4,64,1852,1868,42117,
4,65,1828,1845,63246,
4,66,3463,3486,28877,
4,67,1876,1892,41687,
4,68,2752,2775,51790,
4,69,3420,3442,57937,
4,70,1901,1929,21048,
4,71,1913,2030,42235,
4,72,3385,3403,28904,
4,73,2661,2690,26236,
4,74,3603,3700,28775,
4,75,2705,2736,26070,
4,76,3559,3577,57662,
4,77,3565,3582,57833,
4,78,1880,1901,63249,
4,79,2718,2735,51929,
4,80,2710,2809,51960,
4,81,1976,1995,42062,
4,82,3365,3385,57850,
4,83,3486,3522,86182,
4,84,3405,3425,57534,
4,85,1861,1945,63283,
4,86,3483,3499,57428,
4,87,3412,3430,86308,
4,88,3458,3490,86819,
4,89,2787,2808,77555,
4,90,1910,1927,21058,
4,91,3489,3506,57473,
4,92,2746,2763,51869,
4,93,3523,3550,86737,
4,94,2712,2731,51931,
4,95,3403,3420,86769,
4,96,1908,1926,41940,
4,97,3015,3034,57603,
4,98,1976,1997,42078,
4,99,2538,2603,57778,
5,0,2753,2774,25992,
5,1,3579,3617,86355,
5,2,1915,1940,42289,
5,3,3564,3617,86306,
5,4,2756,2774,52076,
5,5,1911,1930,63660,
5,6,3099,3123,51886,
5,7,3784,3815,57367,
5,8,3906,3976,57372,
5,9,3894,3967,86919,
5,10,3458,3479,86307,
5,11,2605,2738,25886,
5,12,3418,3435,85936,
5,13,1912,2002,63377,
5,14,1859,1876,42090,
5,15,2652,2698,77387,
5,16,1919,1937,63159,
5,17,3377,3394,86795,
5,18,1913,1937,42094,
5,19,2776,2802,77456,
5,20,1893,1960,21286,
5,21,2664,2682,77377,
5,22,3379,3398,57703,
5,23,1864,1916,42266,
5,24,3478,3515,28846,
5,25,3559,3673,57568,
5,26,1905,1923,20989,
5,27,3392,3409,57666,
5,28,2066,2086,21285,
5,29,2065,2083,63093,
5,30,2727,2747,77338,
5,31,1875,1895,21164,
5,32,2628,2670,51575,
5,33,2638,2662,25971,
5,34,1897,1933,21420,
5,35,2644,2665,77791,
