index,qtime_ms,wall_ms,numFound,error
0,1320,2728,87121,
1,430,1816,20863,
2,899,2336,77563,
3,565,1942,42427,
4,526,1914,63462,
5,541,1944,21149,
6,578,1947,42001,
7,1338,2709,58030,
8,1291,1420,57167,
9,502,615,42369,
10,844,966,52138,
11,1127,1241,28662,
12,932,1055,51972,
13,614,724,63308,
14,1250,1366,57634,
15,361,473,20944,
16,606,736,42034,
17,811,921,77564,
18,1384,1559,28731,
19,408,522,20880,
20,1588,1698,57644,
21,356,472,63074,
22,664,774,42263,
23,1163,1282,28865,
24,907,1022,77624,
25,1120,1229,28718,
26,1107,1223,86581,
27,590,707,62972,
28,1014,1128,51454,
29,899,1012,77327,
30,1095,1202,57815,
31,615,726,42280,
32,1121,1234,28876,
33,589,701,63340,
34,1231,1342,58050,
35,639,750,62952,
36,935,1045,25719,
37,485,594,63296,
38,1434,1547,86397,
39,960,1072,25673,
40,1287,1401,57377,
41,577,687,41725,
42,1159,1270,86089,
43,1216,1330,57962,
44,1342,1454,86904,
45,933,1043,25966,
46,584,712,21224,
47,1185,1294,57734,
48,468,576,63595,
49,834,943,51922,
50,972,1081,77542,
51,1387,1499,86248,
52,1419,1533,86634,
53,808,923,25853,
54,453,570,21113,
55,1002,1129,51577,
56,1180,1296,57752,
57,506,617,63241,
58,971,1079,25911,
59,538,653,63758,
60,521,644,42465,
61,958,1067,57950,
62,518,632,63042,
63,1070,1179,77667,
64,857,985,25825,
65,685,798,25821,
66,602,733,42275,
67,762,888,25777,
68,1061,1205,28804,
69,412,528,41925,
70,1473,1593,28805,
71,797,923,51821,
72,585,718,42281,
73,1016,1132,26001,
74,1107,1223,25904,
75,576,701,42090,
76,1022,1131,86173,
77,1366,1478,57773,
78,500,608,42151,
79,1256,1364,28576,
80,1244,1355,28827,
81,1260,1373,28985,
82,625,751,20848,
83,581,697,63482,
84,550,664,20934,
85,1299,1416,57832,
86,576,686,42261,
87,1265,1376,86530,
88,478,588,63418,
89,477,592,42000,
90,1320,1431,57585,
91,456,581,21027,
92,1215,1356,86557,
93,1056,1167,51611,
94,1478,1590,86544,
95,804,933,25895,
96,1059,1167,86334,
97,616,727,42538,
98,936,1061,51454,
99,627,737,21065,
100,398,507,62586,
101,1029,1161,57765,
102,951,1059,51836,
103,1056,1164,28680,
104,591,701,42351,
105,620,734,42407,
106,561,682,21240,
107,413,533,21285,
108,398,515,21143,
109,744,864,51881,
110,760,886,51983,
111,525,640,42316,
112,820,933,25787,
113,549,660,63174,
114,560,672,63245,
115,1349,1790,86360,
116,908,1024,51821,
117,844,955,51811,
118,531,681,21116,
119,426,645,21024,
120,481,595,63486,
121,1002,1145,87088,
122,848,985,77303,
123,402,724,62960,
124,1057,1240,25998,
125,560,755,41869,
126,757,868,78177,
127,1026,1231,57523,
128,634,747,42247,
129,1047,1161,57537,
130,1038,1157,28914,
131,433,597,62856,
132,848,967,78050,
133,389,552,20822,
134,780,1097,77238,
135,515,627,63100,
136,475,588,62881,
137,397,898,42338,
138,1202,1315,86738,
139,866,975,86724,
140,424,629,42062,
141,496,744,21035,
142,1083,1193,57778,
143,1161,1277,57647,
144,1045,1233,28704,
145,583,700,63205,
146,591,699,42003,
147,1083,1194,28611,
148,600,891,42190,
149,681,818,52108,
150,1128,1235,86480,
151,630,746,21324,
152,504,611,63562,
153,1313,1450,86440,
154,966,1079,51737,
155,1016,1129,29022,
156,768,890,26109,
157,1505,1612,57767,
158,670,781,42278,
159,602,722,41846,
160,1021,1141,28630,
161,678,796,41932,
