index,qtime_ms,wall_ms,numFound,error
0,12188,13264,87121,
1,263,390,20863,
2,378,587,77563,
3,239,352,42427,
4,228,343,63462,
5,217,392,21149,
6,216,383,42001,
7,512,628,58030,
8,495,620,57167,
9,213,389,42369,
10,362,494,52138,
11,481,594,28662,
12,366,478,51972,
13,217,338,63308,
14,500,614,57634,
15,213,328,20944,
16,214,336,42034,
17,369,484,77564,
18,473,586,28731,
19,211,328,20880,
20,498,728,57644,
21,215,408,63074,
22,217,329,42263,
23,498,630,28865,
24,351,463,77624,
25,471,583,28718,
26,496,613,86581,
27,214,440,62972,
28,362,475,51454,
29,358,479,77327,
30,495,610,57815,
31,209,323,42280,
32,550,704,28876,
33,217,329,63340,
34,497,610,58050,
35,211,322,62952,
36,356,467,25719,
37,213,394,63296,
38,496,670,86397,
39,363,477,25673,
40,492,606,57377,
41,210,326,41725,
42,476,644,86089,
43,492,606,57962,
44,498,609,86904,
45,347,466,25966,
46,208,336,21224,
47,499,611,57734,
48,210,323,63595,
49,356,476,51922,
50,366,508,77542,
51,504,616,86248,
52,501,684,86634,
53,352,463,25853,
54,191,306,21113,
55,354,473,51577,
56,491,602,57752,
57,209,347,63241,
58,349,466,25911,
59,217,410,63758,
60,210,321,42465,
61,571,729,57950,
62,213,326,63042,
63,354,487,77667,
64,350,511,25825,
65,349,462,25821,
66,212,340,42275,
67,351,466,25777,
68,483,595,28804,
69,212,326,41925,
70,469,595,28805,
71,356,472,51821,
72,208,336,42281,
73,334,465,26001,
74,355,479,25904,
75,207,328,42090,
76,491,657,86173,
77,491,600,57773,
78,211,342,42151,
79,488,679,28576,
80,499,610,28827,
81,492,612,28985,
82,214,328,20848,
83,213,421,63482,
84,206,318,20934,
85,495,695,57832,
86,208,319,42261,
87,495,605,86530,
88,210,326,63418,
89,206,323,42000,
90,489,678,57585,
91,206,317,21027,
92,490,849,86557,
93,349,460,51611,
94,497,607,86544,
95,345,456,25895,
96,491,601,86334,
97,208,320,42538,
98,340,462,51454,
99,205,323,21065,
100,211,516,62586,
101,476,613,57765,
102,350,464,51836,
103,452,563,28680,
104,207,325,42351,
105,207,339,42407,
106,204,318,21240,
107,207,320,21285,
108,205,319,21143,
109,348,458,51881,
110,351,462,51983,
111,207,329,42316,
112,344,462,25787,
113,211,406,63174,
114,210,348,63245,
115,498,696,86360,
116,347,458,51821,
117,345,455,51811,
118,204,315,21116,
119,199,309,21024,
120,210,339,63486,
121,478,592,87088,
122,351,462,77303,
123,208,329,62960,
124,349,466,25998,
125,208,326,41869,
126,347,466,78177,
127,492,616,57523,
128,206,318,42247,
129,491,602,57537,
130,459,614,28914,
131,215,330,62856,
132,352,813,78050,
133,208,322,20822,
134,356,466,77238,
