index,qtime_ms,wall_ms,numFound,error
277,438,547,25921,
278,693,803,28724,
279,672,784,28633,
280,247,356,63458,
281,242,351,63265,
282,239,359,20944,
283,665,776,86582,
284,617,730,57349,
285,487,597,26039,
286,488,600,25881,
287,266,374,21226,
288,249,361,21136,
289,639,748,28693,
290,449,589,77572,
291,409,516,77968,
292,297,407,63334,
293,435,542,77450,
294,280,393,21076,
295,618,853,86937,
296,492,768,25697,
297,259,462,63140,
298,243,382,42066,
299,501,715,51843,
300,661,770,57673,
301,502,714,77797,
302,512,714,51654,
303,294,402,42236,
304,439,547,25916,
305,606,713,28694,
306,271,380,21110,
307,437,545,78053,
308,448,556,78209,
309,289,415,42197,
310,467,574,77641,
311,445,552,77630,
312,276,383,63292,
313,408,527,25693,
314,434,554,26227,
315,245,370,21147,
316,447,568,25965,
317,599,707,57203,
318,294,401,20941,
319,449,556,52001,
320,268,377,42434,
321,626,749,86108,
322,629,739,57346,
323,271,468,21051,
324,404,512,51722,
325,240,408,63455,
326,611,718,57537,
327,640,750,28987,
328,246,355,63489,
329,451,558,51451,
330,632,773,29030,
331,298,509,63008,
332,568,796,29121,
333,654,761,57439,
334,397,503,78073,
335,471,579,78068,
336,637,748,29017,
337,252,361,21134,
338,288,416,21036,
339,606,715,86209,
340,255,365,21207,
341,267,378,42287,
342,616,739,28762,
343,481,616,77780,
344,634,752,86391,
345,670,785,85973,
346,438,568,26062,
347,247,356,63594,
348,438,545,25774,
349,455,578,77920,
350,594,702,57159,
351,599,708,28735,
352,289,416,20933,
353,254,369,20910,
354,256,364,41981,
355,245,359,63425,
356,254,361,63233,
357,625,731,57416,
358,279,467,62865,
359,400,508,77770,
360,293,402,63385,
361,625,743,29097,
362,479,683,77704,
363,625,737,29008,
364,474,604,51956,
365,467,578,51634,
366,503,615,77700,
367,489,598,77738,
368,458,569,25951,
369,251,378,41936,
370,263,392,42362,
371,283,395,63239,
372,645,779,28707,
373,432,551,52170,
374,294,448,63258,
375,398,506,25789,
376,581,691,85840,
377,475,584,25787,
378,467,575,25860,
379,294,419,21019,
380,220,330,63351,
381,627,739,86213,
382,293,401,63184,
383,657,764,57668,
384,465,574,78106,
385,677,790,57791,
386,238,348,62924,
387,650,756,58151,
388,243,362,42355,
389,596,707,57699,
390,279,385,63528,
391,294,410,42128,
392,446,577,25859,
393,292,426,42119,
394,242,362,42126,
395,431,538,77644,
396,236,349,63336,
397,252,362,42182,
398,640,747,57531,
399,280,389,63110,
400,484,591,52044,
401,447,553,77645,
402,243,356,21095,
403,687,796,86304,
404,446,556,51560,
405,664,770,86530,
406,509,615,51712,
407,716,827,28986,
408,463,637,77779,
409,636,745,57630,
410,303,410,62796,
411,596,704,86638,
412,676,791,57699,
413,292,400,42167,
414,640,747,57562,
415,307,417,63429,
416,407,519,51579,
417,758,867,28628,
418,291,398,63035,
419,214,322,21082,
420,260,377,42162,
421,601,721,25756,
422,531,638,77488,
423,358,469,21062,
424,609,722,87141,
425,580,687,86410,
426,298,406,62991,
427,310,417,42133,
428,439,546,77436,
429,265,373,62896,
430,231,467,21133,
431,455,594,77480,
432,655,769,29006,
433,654,852,86495,
434,434,631,77397,
435,411,551,77673,
436,234,408,21155,
437,597,707,86690,
438,411,523,25912,
439,292,408,63240,
440,448,556,51693,
441,230,341,20792,
442,443,550,51469,
443,617,730,86596,
444,698,890,86629,
445,258,366,21301,
446,442,589,25945,
447,607,819,28851,
448,435,691,77671,
449,388,498,77878,
450,572,683,57470,
451,616,726,57852,
452,652,758,28584,
453,289,395,41999,
454,445,576,78005,
455,690,798,86453,
456,672,780,57486,
457,242,348,63214,
458,243,353,42212,
459,232,340,62782,
460,245,372,21102,
461,653,760,57487,
462,607,713,28640,
463,610,719,57552,
464,292,399,42175,
465,252,479,42146,
466,261,411,21067,
467,250,398,42089,
468,431,538,51693,
469,293,399,63377,
470,292,398,42289,
471,244,351,42165,
472,430,539,51621,
473,273,380,63296,
474,269,376,42193,
475,459,568,51879,
476,695,801,85813,
477,431,540,51640,
478,294,401,63012,
479,295,402,41999,
480,301,414,62926,
481,597,704,28856,
482,605,713,86316,
483,290,399,42319,
484,298,410,42098,
485,633,761,28985,
486,291,409,41547,
487,429,536,51818,
488,295,404,21091,
489,236,358,21189,
490,492,600,51662,
491,450,559,25871,
492,297,411,42078,
493,596,725,28837,
494,683,792,57681,
495,513,620,51712,
496,447,554,77398,
497,221,327,63601,
498,348,458,25723,
499,475,582,86465,
