index,qtime_ms,wall_ms,numFound,error
0,8625,9875,87121,
1,5472,6721,20863,
2,7212,8457,77563,
3,5416,6651,42427,
4,5293,6549,63462,
5,5407,6648,21149,
6,5458,6696,42001,
7,8904,10151,58030,
8,8955,9064,57167,
9,5140,5263,42369,
10,7504,7622,52138,
11,8867,8987,28662,
12,6873,6990,51972,
13,5437,5585,63308,
14,8852,8987,57634,
15,5379,5496,20944,
16,5300,5429,42034,
17,6998,7109,77564,
18,8817,8935,28731,
19,5367,5485,20880,
20,9001,9123,57644,
21,5334,5443,63074,
22,5230,5391,42263,
23,9416,9530,28865,
24,7076,7295,77624,
25,9144,9253,28718,
26,9164,9344,86581,
27,5070,5185,62972,
28,7635,7744,51454,
29,7722,7832,77327,
30,8653,8768,57815,
31,5531,5711,42280,
32,9194,9312,28876,
33,5360,5607,63340,
34,9419,9709,58050,
35,5164,5273,62952,
36,7077,7191,25719,
37,4543,4656,63296,
38,10445,10559,86397,
39,6272,6386,25673,
40,9151,9266,57377,
41,4723,4836,41725,
42,8926,9052,86089,
43,9408,9536,57962,
44,8780,8895,86904,
45,7024,7150,25966,
46,5590,5725,21224,
47,9194,9328,57734,
48,5508,5623,63595,
49,6994,7137,51922,
50,7321,7438,77542,
51,8676,8789,86248,
52,9269,9386,86634,
53,7594,7718,25853,
54,5632,5765,21113,
55,7624,7734,51577,
56,8775,8939,57752,
57,5033,5163,63241,
58,7437,7550,25911,
59,5269,5388,63758,
60,5553,5665,42465,
61,9558,9683,57950,
62,5273,5388,63042,
63,6704,6812,77667,
64,6757,6897,25825,
65,6788,6938,25821,
66,5650,5761,42275,
67,7515,7660,25777,
68,9576,9696,28804,
69,5808,5916,41925,
70,9105,9367,28805,
71,7860,7971,51821,
72,5657,5806,42281,
73,7789,7902,26001,
74,7047,7164,25904,
75,5433,5544,42090,
76,9441,9569,86173,
77,9197,9374,57773,
78,5303,5413,42151,
79,9069,9177,28576,
80,8929,9037,28827,
81,8897,9005,28985,
82,5366,5480,20848,
83,5348,5461,63482,
84,5232,5349,20934,
85,9044,9152,57832,
86,5413,5525,42261,
87,9218,9338,86530,
88,5166,5322,63418,
89,4780,4912,42000,
90,9092,9205,57585,
91,5443,5563,21027,
92,9358,9471,86557,
93,7229,7339,51611,
94,8917,9036,86544,
95,7277,7396,25895,
96,8721,8835,86334,
97,5277,5414,42538,
98,7164,7278,51454,
99,5107,5231,21065,
100,5497,5612,62586,
101,8623,8731,57765,
102,7023,7158,51836,
103,8135,8246,28680,
104,5092,5216,42351,
105,5037,5162,42407,
106,5425,5537,21240,
107,5756,5891,21285,
108,4930,5048,21143,
109,7215,7331,51881,
110,7346,7455,51983,
111,5557,5723,42316,
112,7310,7474,25787,
113,5423,5535,63174,
114,5408,5526,63245,
115,9185,9302,86360,
116,7446,7563,51821,
117,7387,7501,51811,
118,5243,5357,21116,
119,5809,5945,21024,
120,5714,5822,63486,
121,9114,9227,87088,
122,7099,7209,77303,
123,5235,5349,62960,
124,7158,7271,25998,
125,5777,5892,41869,
126,7711,7827,78177,
127,9298,9420,57523,
128,4886,5008,42247,
129,8887,9099,57537,
130,9674,9790,28914,
131,5031,5212,62856,
132,6736,6852,78050,
133,5092,5207,20822,
134,7484,7595,77238,
135,4763,4871,63100,
136,5219,5339,62881,
137,4881,5012,42338,
138,9184,9300,86738,
139,9172,9393,86724,
140,5477,5598,42062,
141,5637,5758,21035,
142,9020,9139,57778,
143,8688,8802,57647,
144,8271,8393,28704,
145,5602,5714,63205,
146,5865,5994,42003,
147,8789,8902,28611,
148,5643,5767,42190,
149,7126,7236,52108,
150,8934,9045,86480,
151,5433,5550,21324,
152,5422,5533,63562,
153,9623,9734,86440,
154,7459,7576,51737,
155,8702,8812,29022,
156,7419,7542,26109,
157,9031,9141,57767,
158,5241,5430,42278,
159,5753,5933,41846,
160,9188,9302,28630,
161,5176,5304,41932,
162,6930,7039,51593,
163,9078,9185,28626,
164,9082,9193,28928,
165,5559,5671,41765,
166,4997,5201,41998,
167,9061,9170,86366,
168,5186,5297,63010,
169,9117,9228,86262,
170,8650,8761,28933,
171,8879,8987,86491,
172,7331,7438,51532,
173,6845,6953,51732,
174,5211,5323,62940,
175,5238,5347,42310,
176,5295,5403,63155,
