index,qtime_ms,wall_ms,numFound,error
0,735,1604,87121,
1,431,1355,20863,
2,410,522,77563,
3,287,402,42427,
4,267,388,63462,
5,258,369,21149,
6,218,341,42001,
7,582,813,58030,
8,534,648,57167,
9,197,308,42369,
10,339,469,52138,
11,499,611,28662,
12,337,449,51972,
13,196,410,63308,
14,468,579,57634,
15,192,304,20944,
16,226,346,42034,
17,363,475,77564,
18,446,561,28731,
19,195,320,20880,
20,472,588,57644,
21,199,349,63074,
22,194,306,42263,
23,482,601,28865,
24,340,452,77624,
25,482,594,28718,
26,473,586,86581,
27,206,319,62972,
28,336,448,51454,
29,332,444,77327,
30,478,592,57815,
31,205,316,42280,
32,482,599,28876,
33,198,376,63340,
34,468,582,58050,
35,200,311,62952,
36,323,439,25719,
37,198,311,63296,
38,473,584,86397,
39,330,441,25673,
40,469,581,57377,
41,218,329,41725,
42,457,588,86089,
43,469,580,57962,
44,476,588,86904,
45,333,445,25966,
46,201,332,21224,
47,472,582,57734,
48,197,308,63595,
49,336,453,51922,
50,338,449,77542,
51,472,582,86248,
52,473,585,86634,
53,340,471,25853,
54,180,310,21113,
55,333,561,51577,
56,464,575,57752,
57,207,319,63241,
58,340,564,25911,
59,195,392,63758,
60,194,308,42465,
61,475,586,57950,
62,205,321,63042,
63,330,444,77667,
64,327,443,25825,
65,323,435,25821,
66,192,305,42275,
67,327,439,25777,
68,457,568,28804,
69,197,307,41925,
70,439,569,28805,
71,331,451,51821,
72,195,314,42281,
73,309,421,26001,
74,339,457,25904,
75,206,333,42090,
76,476,640,86173,
77,472,632,57773,
78,201,312,42151,
79,465,613,28576,
80,523,635,28827,
81,530,641,28985,
82,195,309,20848,
83,204,318,63482,
84,202,316,20934,
85,477,588,57832,
86,202,313,42261,
87,470,672,86530,
88,197,397,63418,
89,194,408,42000,
90,469,590,57585,
91,197,311,21027,
92,471,582,86557,
93,332,445,51611,
94,481,592,86544,
95,330,440,25895,
96,483,598,86334,
97,196,308,42538,
98,333,464,51454,
99,196,322,21065,
100,243,438,62586,
101,499,609,57765,
102,333,444,51836,
103,444,555,28680,
104,207,319,42351,
105,196,309,42407,
106,191,310,21240,
107,230,348,21285,
108,232,353,21143,
109,333,443,51881,
110,334,445,51983,
111,196,327,42316,
112,326,452,25787,
113,205,315,63174,
114,208,319,63245,
115,475,590,86360,
116,330,442,51821,
117,331,441,51811,
118,196,306,21116,
119,192,320,21024,
120,202,328,63486,
121,465,588,87088,
122,339,460,77303,
123,198,313,62960,
124,329,458,25998,
125,196,325,41869,
126,337,449,78177,
127,477,590,57523,
128,197,307,42247,
129,475,625,57537,
130,448,618,28914,
131,196,409,62856,
132,327,437,78050,
133,194,306,20822,
134,329,439,77238,
135,197,308,63100,
136,205,316,62881,
137,202,317,42338,
138,468,583,86738,
139,468,593,86724,
140,195,308,42062,
141,191,301,21035,
142,471,584,57778,
143,439,550,57647,
144,474,584,28704,
145,204,385,63205,
146,196,308,42003,
147,450,560,28611,
148,194,306,42190,
149,337,449,52108,
150,473,584,86480,
151,194,323,21324,
152,202,312,63562,
153,465,583,86440,
154,328,444,51737,
155,465,580,29022,
156,307,417,26109,
157,450,561,57767,
158,197,309,42278,
159,200,325,41846,
160,466,585,28630,
161,194,334,41932,
162,330,439,51593,
163,464,585,28626,
164,469,584,28928,
165,200,312,41765,
166,200,330,41998,
167,459,569,86366,
168,198,316,63010,
169,477,587,86262,
170,472,582,28933,
171,472,585,86491,
172,331,461,51532,
173,326,440,51732,
174,197,309,62940,
175,195,308,42310,
176,199,311,63155,
177,204,319,63101,
178,198,314,20911,
179,340,455,25898,
180,473,601,85891,
181,335,449,77263,
182,335,452,77546,
183,466,593,57756,
184,475,629,86443,
185,200,408,63096,
186,470,581,86477,
187,476,586,28779,
188,479,596,28801,
189,315,439,26076,
190,198,313,42113,
191,472,583,86372,
192,333,443,77563,
193,325,438,25967,
194,197,308,41976,
195,334,523,77996,
196,333,516,51862,
197,455,570,28685,
198,204,372,42052,
199,475,592,86307,
200,194,304,41991,
201,194,311,42357,
202,449,561,28556,
203,192,303,21010,
204,471,583,57658,
205,198,314,20964,
206,178,289,21105,
207,196,307,42500,
208,488,598,29021,
209,203,314,21325,
210,332,464,51620,
211,196,318,21081,
212,468,578,86544,
213,468,579,57857,
214,465,574,57401,
215,198,313,63339,
216,478,589,57919,
217,336,464,51980,
218,330,440,77876,
219,469,580,86811,
220,200,318,42118,
221,453,588,28924,
222,327,437,51963,
223,333,510,78117,
224,470,584,57720,
225,468,578,28696,
226,198,311,63427,
227,196,309,63842,
228,335,456,51773,
229,338,530,51766,
230,492,603,57690,
231,491,614,86525,
232,327,437,51556,
233,477,589,57344,
234,202,322,21198,
235,318,429,77745,
236,313,423,25780,
237,192,320,21032,
238,327,437,51547,
239,200,318,42251,
240,469,579,57645,
241,327,437,52242,
242,332,443,51827,
243,200,395,62773,
244,193,304,42544,
245,194,305,21074,
246,198,308,63395,
247,200,311,63143,
248,455,567,28732,
249,200,312,20939,
250,196,313,42318,
251,338,468,25783,
252,209,318,63178,
253,467,585,28791,
254,331,459,25827,
255,474,655,86610,
256,480,600,57794,
257,390,588,77743,
258,529,640,57632,
259,479,592,57811,
260,197,309,20993,
261,344,457,77367,
262,335,447,26008,
263,334,464,25927,
264,471,584,58024,
265,198,433,42020,
266,336,458,25961,
267,326,460,25659,
268,319,501,25936,
269,466,605,87399,
270,334,444,51959,
271,457,567,86156,
272,338,450,51965,
273,197,310,41795,
274,329,441,77708,
275,336,446,25926,
276,334,464,51687,
277,336,467,25921,
278,470,580,28724,
279,453,566,28633,
280,204,314,63458,
281,208,318,63265,
282,199,312,20944,
283,481,590,86582,
284,456,565,57349,
285,341,468,26039,
286,328,444,25881,
287,193,315,21226,
288,195,310,21136,
289,469,587,28693,
290,320,431,77572,
291,330,441,77968,
292,199,311,63334,
293,340,453,77450,
294,196,305,21076,
295,474,583,86937,
296,329,439,25697,
297,200,309,63140,
298,204,313,42066,
299,328,438,51843,
300,472,582,57673,
301,340,455,77797,
302,328,439,51654,
303,203,331,42236,
304,307,439,25916,
305,436,545,28694,
306,197,308,21110,
307,333,443,78053,
308,336,446,78209,
309,200,319,42197,
310,339,491,77641,
311,333,444,77630,
312,200,311,63292,
313,308,448,25693,
314,325,479,26227,
315,195,332,21147,
316,330,455,25965,
317,475,586,57203,
318,196,310,20941,
319,327,439,52001,
320,195,304,42434,
321,471,581,86108,
322,469,665,57346,
323,194,303,21051,
324,332,442,51722,
325,198,309,63455,
326,478,590,57537,
327,440,549,28987,
328,206,329,63489,
329,338,451,51451,
330,458,572,29030,
331,204,380,63008,
332,472,588,29121,
333,467,577,57439,
334,342,458,78073,
335,344,456,78068,
336,470,581,29017,
337,199,310,21134,
338,196,319,21036,
339,477,587,86209,
340,203,313,21207,
341,201,326,42287,
342,443,558,28762,
343,331,441,77780,
344,476,586,86391,
345,466,575,85973,
346,329,439,26062,
347,198,310,63594,
348,330,514,25774,
349,340,450,77920,
350,454,567,57159,
351,452,562,28735,
352,200,319,20933,
353,202,315,20910,
354,197,315,41981,
355,199,329,63425,
356,198,332,63233,
357,484,593,57416,
358,206,317,62865,
359,323,434,77770,
360,201,399,63385,
361,447,566,29097,
362,343,477,77704,
363,451,561,29008,
364,337,458,51956,
365,329,439,51634,
366,336,448,77700,
367,345,456,77738,
368,337,447,25951,
369,195,311,41936,
