index,qtime_ms,wall_ms,numFound,error
0,3006,3849,87121,
1,1393,1513,20863,
2,2080,2198,77563,
3,1397,1509,42427,
4,1348,1461,63462,
5,1351,1487,21149,
6,1405,1527,42001,
7,2584,2700,58030,
8,2574,2685,57167,
9,1389,1502,42369,
10,2042,2158,52138,
11,2575,2687,28662,
12,1989,2100,51972,
13,1418,1535,63308,
14,2507,2633,57634,
15,1378,1499,20944,
16,1349,1461,42034,
17,1929,2049,77564,
18,2688,2802,28731,
19,1506,1631,20880,
20,2539,2655,57644,
21,1426,1549,63074,
22,1356,1474,42263,
23,2513,2624,28865,
24,1922,2035,77624,
25,2499,2613,28718,
26,2428,2541,86581,
27,1353,1464,62972,
28,1899,2012,51454,
29,1837,1950,77327,
30,2424,2699,57815,
31,1295,1474,42280,
32,2605,2715,28876,
33,1347,1462,63340,
34,2518,2629,58050,
35,1358,1471,62952,
36,1961,2074,25719,
37,1407,1521,63296,
38,2532,2650,86397,
39,2045,2161,25673,
40,2535,2664,57377,
41,1423,1536,41725,
42,2682,2800,86089,
43,2521,2631,57962,
44,2517,2629,86904,
45,2077,2197,25966,
46,1500,1626,21224,
47,2593,2703,57734,
48,1437,1549,63595,
49,2015,2125,51922,
50,1931,2042,77542,
51,2470,2580,86248,
52,2538,2648,86634,
53,1958,2079,25853,
54,1400,1511,21113,
55,1951,2068,51577,
56,2476,2586,57752,
57,1329,1533,63241,
58,1919,2151,25911,
59,1356,1486,63758,
60,1409,1584,42465,
61,2638,2753,57950,
62,1421,1532,63042,
63,2047,2158,77667,
64,2069,2181,25825,
65,2130,2241,25821,
66,1475,1588,42275,
67,2059,2182,25777,
68,2764,2878,28804,
69,1470,1586,41925,
70,2645,2755,28805,
71,2057,2167,51821,
72,1443,1554,42281,
73,2260,2382,26001,
74,2106,2224,25904,
75,1477,1632,42090,
76,2659,2769,86173,
77,2633,2742,57773,
78,1398,1510,42151,
79,2564,2675,28576,
80,2462,2573,28827,
81,2578,2689,28985,
82,1405,1520,20848,
83,1372,1486,63482,
84,1364,1476,20934,
85,2506,2617,57832,
86,1390,1621,42261,
87,2512,2740,86530,
88,1404,1514,63418,
89,1452,1567,42000,
90,2506,2618,57585,
91,1421,1551,21027,
92,2597,2807,86557,
93,1988,2099,51611,
94,2641,2751,86544,
95,2116,2226,25895,
96,2716,2830,86334,
97,1487,1599,42538,
98,2118,2229,51454,
99,1470,1598,21065,
100,1415,1526,62586,
101,2544,2656,57765,
102,2224,2335,51836,
103,2695,2807,28680,
104,1483,1655,42351,
105,1460,1570,42407,
106,1407,1528,21240,
107,1408,1520,21285,
108,1426,1552,21143,
109,2037,2147,51881,
110,2123,2330,51983,
111,1404,1514,42316,
112,2087,2218,25787,
113,1418,1593,63174,
114,1443,1553,63245,
115,2629,2740,86360,
116,2038,2148,51821,
117,1966,2197,51811,
118,1504,1622,21116,
119,1427,1555,21024,
120,1436,1548,63486,
121,2677,2799,87088,
122,2125,2265,77303,
123,1509,1620,62960,
124,2148,2257,25998,
125,1480,1605,41869,
126,2144,2253,78177,
127,2708,2821,57523,
128,1469,1589,42247,
129,2626,2738,57537,
130,2627,2745,28914,
131,1389,1508,62856,
132,2097,2209,78050,
133,1444,1564,20822,
134,2081,2192,77238,
135,1456,1568,63100,
136,1384,1594,62881,
137,1391,1505,42338,
138,2566,2676,86738,
139,2625,2737,86724,
140,1512,1641,42062,
141,1477,1636,21035,
142,2591,2801,57778,
143,2631,2765,57647,
144,2622,2739,28704,
145,1443,1561,63205,
146,1429,1654,42003,
147,2686,2802,28611,
148,1459,1573,42190,
149,2171,2365,52108,
