round,index,qtime_ms,wall_ms,numFound,error
3,15,1200,1220,57618,
3,16,909,928,26012,
3,17,1089,1117,86706,
3,18,785,804,21090,
3,19,841,857,41953,
3,20,1094,1118,58066,
3,21,766,814,21359,
3,22,989,1008,51768,
3,23,809,826,63192,
3,24,1077,1094,51784,
3,25,1056,1128,25783,
3,26,796,901,42209,
3,27,1099,1140,86722,
3,28,665,682,41938,
3,29,752,818,42021,
3,30,1081,1101,86741,
3,31,758,775,42424,
3,32,1075,1103,86401,
3,33,750,771,42203,
3,34,918,970,25925,
3,35,762,840,41917,
3,36,952,974,52254,
3,37,700,719,41997,
3,38,952,1027,51659,
3,39,835,919,63291,
3,40,889,908,25759,
3,41,726,744,42036,
3,42,805,822,41748,
3,43,1061,1125,86166,
3,44,1154,1184,86610,
3,45,1145,1164,85997,
3,46,1110,1127,57507,
3,47,846,863,63081,
3,48,1151,1178,86349,
3,49,997,1014,26014,
3,50,1241,1258,57715,
3,51,848,866,42263,
3,52,1113,1130,57340,
3,53,770,788,42436,
3,54,804,828,42232,
3,55,772,886,21376,
3,56,909,990,77620,
3,57,780,797,42262,
3,58,891,913,52027,
3,59,1091,1108,86348,
3,60,941,1002,77690,
3,61,1168,1185,28931,
3,62,1091,1122,57867,
3,63,942,1040,51879,
3,64,1102,1162,29043,
3,65,720,747,21106,
3,66,1084,1102,28856,
3,67,990,1009,51931,
3,68,984,1001,51685,
3,69,852,869,20874,
3,70,761,857,42334,
3,71,957,973,51503,
3,72,1155,1172,57592,
3,73,930,947,25983,
3,74,783,801,63177,
3,75,745,782,63148,
3,76,1122,1148,57960,
3,77,807,837,42168,
3,78,933,1009,25853,
3,79,894,911,77304,
3,80,942,958,77477,
3,81,784,803,21000,
3,82,969,986,26056,
3,83,760,780,20982,
3,84,1165,1181,57588,
3,85,1148,1165,51874,
3,86,762,856,63361,
3,87,871,889,77268,
3,88,779,819,21166,
3,89,780,816,21178,
3,90,946,963,25694,
3,91,789,807,63663,
3,92,1066,1089,25758,
3,93,968,986,62797,
3,94,1249,1271,28777,
3,95,1048,1065,52088,
3,96,1075,1092,86500,
3,97,732,755,21039,
3,98,980,998,28945,
3,99,616,633,21153,
4,0,923,940,57555,
4,1,779,849,20971,
4,2,1017,1034,86728,
4,3,862,881,51714,
4,4,867,885,57330,
4,5,648,665,20926,
4,6,788,809,51612,
4,7,866,883,51939,
4,8,884,950,28703,
4,9,761,777,52089,
4,10,676,747,41686,
4,11,1094,1186,86746,
4,12,649,667,63071,
4,13,814,917,26195,
4,14,842,907,57777,
4,15,431,449,21224,
4,16,480,497,63007,
4,17,491,510,21011,
4,18,610,626,25812,
4,19,749,781,86236,
4,20,611,628,78069,
4,21,654,719,25779,
4,22,590,607,77576,
4,23,515,535,63226,
4,24,643,660,52223,
4,25,502,519,21218,
4,26,639,703,51397,
4,27,688,734,28628,
4,28,624,642,77466,
4,29,614,632,77929,
4,30,729,747,57717,
4,31,524,542,41896,
4,32,480,497,63393,
4,33,743,761,58007,
4,34,792,809,28923,
4,35,515,533,42029,
4,36,812,829,57261,
4,37,519,537,62529,
4,38,609,626,77732,
4,39,780,804,86807,
4,40,755,776,28587,
4,41,595,624,63220,
4,42,737,857,57410,
4,43,433,449,62917,
4,44,800,915,57650,
4,45,797,893,28772,
4,46,703,721,86008,
4,47,726,744,85889,
4,48,517,535,21108,
4,49,522,540,42125,
4,50,502,519,21185,
4,51,506,543,21108,
4,52,797,813,86017,
4,53,660,688,51684,
4,54,777,806,28999,
4,55,523,542,63113,
4,56,773,790,28770,
4,57,533,550,42059,
4,58,487,505,42115,
4,59,497,517,20892,
4,60,619,664,77943,
4,61,600,631,25923,
4,62,588,606,25646,
4,63,722,740,86427,
4,64,486,538,42118,
4,65,494,538,63243,
4,66,691,707,28878,
4,67,460,479,41689,
4,68,609,718,51788,
4,69,731,749,57932,
4,70,467,515,21050,
4,71,496,517,42237,
4,72,796,822,28906,
4,73,656,713,26236,
4,74,795,812,28773,
4,75,639,655,26072,
4,76,829,851,57665,
4,77,825,842,57832,
4,78,513,530,63244,
4,79,644,671,51927,
4,80,570,695,51961,
4,81,495,533,42063,
4,82,733,752,57848,
4,83,655,673,86183,
4,84,711,822,57533,
4,85,479,508,63281,
4,86,681,697,57428,
4,87,725,742,86311,
4,88,758,777,86817,
4,89,597,714,77557,
4,90,502,647,21058,
4,91,647,664,57479,
4,92,521,538,51868,
4,93,764,802,86740,
4,94,608,645,51929,
4,95,809,886,86768,
4,96,508,526,41941,
4,97,809,825,57599,
4,98,548,628,42078,
4,99,744,763,57778,
5,0,1196,1315,25989,
5,1,1266,1315,86356,
5,2,576,674,42291,
5,3,1467,1516,86309,
5,4,1387,1407,52078,
5,5,800,822,63657,
5,6,748,767,51883,
5,7,965,1023,57365,
5,8,818,872,57373,
5,9,812,872,86922,
5,10,828,845,86302,
5,11,559,579,25888,
5,12,696,792,85937,
5,13,533,792,63377,
5,14,515,765,42092,
5,15,534,628,77386,
5,16,542,564,63167,
5,17,814,943,86796,
5,18,546,568,42092,
5,19,673,695,77461,
5,20,484,505,21289,
5,21,513,529,77380,
5,22,725,743,57702,
5,23,471,490,42265,
5,24,729,794,28848,
5,25,760,778,57567,
5,26,515,535,20987,
5,27,683,701,57665,
5,28,538,555,21283,
5,29,534,551,63090,
5,30,639,656,77339,
5,31,502,523,21165,
5,32,660,676,51576,
5,33,662,679,25973,
5,34,524,551,21420,
5,35,637,656,77791,
5,36,677,714,51723,
5,37,683,704,26002,
5,38,518,629,63269,
5,39,459,490,62899,
5,40,677,695,51186,
5,41,815,832,28700,
5,42,675,692,51525,
5,43,818,838,86924,
5,44,778,844,86738,
5,45,750,843,29086,
5,46,717,734,28786,
5,47,661,696,51709,
5,48,790,818,57536,
5,49,785,817,28879,
5,50,523,541,41999,
5,51,535,554,62948,
5,52,738,755,28707,
5,53,607,624,26109,
5,54,509,532,41802,
5,55,519,538,42047,
5,56,503,537,42223,
5,57,669,687,77852,
5,58,799,817,58000,
5,59,490,509,63428,
5,60,621,638,25924,
5,61,624,641,25943,
5,62,748,765,28722,
5,63,753,772,57964,
5,64,731,790,57584,
5,65,539,668,63215,
5,66,573,590,77642,
5,67,599,646,52086,
5,68,636,710,51858,
5,69,482,510,63486,
5,70,576,595,77931,
5,71,621,643,26187,
5,72,632,653,77332,
5,73,768,825,28558,
5,74,521,537,41974,
5,75,474,492,63427,
5,76,1017,1035,57878,
5,77,852,869,86119,
5,78,745,764,25795,
5,79,604,620,63207,
5,80,497,596,63204,
5,81,637,654,77566,
5,82,777,796,57717,
5,83,544,567,51555,
5,84,763,780,57498,
5,85,488,506,63269,
5,86,790,807,86701,
5,87,587,604,77251,
5,88,735,762,58119,
5,89,779,854,86420,
5,90,524,541,21249,
5,91,733,750,58029,
5,92,495,514,42064,
5,93,572,590,77318,
5,94,497,516,62861,
5,95,596,613,25872,
5,96,717,734,86438,
5,97,479,589,62970,
5,98,561,612,57135,
5,99,560,576,28675,
6,0,592,683,20960,
6,1,836,853,77898,
6,2,968,986,86620,
6,3,846,870,51672,
6,4,574,591,63220,
6,5,748,764,57327,
6,6,635,732,25914,
6,7,592,615,77575,
6,8,572,633,63145,
6,9,496,517,21155,
6,10,455,517,20866,
6,11,723,740,28816,
6,12,753,772,57533,
6,13,543,560,63548,
6,14,506,526,63209,
6,15,547,573,42429,
6,16,478,497,63517,
6,17,591,608,42205,
6,18,777,826,28706,
6,19,727,823,86801,
6,20,702,719,86571,
6,21,591,611,78075,
6,22,637,654,78022,
6,23,791,808,57759,
6,24,500,525,21050,
6,25,563,587,20823,
6,26,474,491,62853,
6,27,744,760,28668,
6,28,724,740,77793,
6,29,658,688,25951,
6,30,626,648,25912,
6,31,618,635,77537,
6,32,773,877,28747,
6,33,530,551,63004,
6,34,731,805,86477,
6,35,709,728,28984,
6,36,741,762,57773,
6,37,499,516,63132,
6,38,754,817,57979,
6,39,476,494,63035,
6,40,786,870,86272,
6,41,769,814,28842,
6,42,745,771,86524,
6,43,631,689,26069,
6,44,747,819,28974,
6,45,595,617,51982,
6,46,510,560,42239,
6,47,706,723,86914,
6,48,488,507,63168,
6,49,488,514,21244,
6,50,569,606,21324,
6,51,609,655,25858,
6,52,749,767,57109,
6,53,530,548,42198,
6,54,612,633,51664,
6,55,509,527,21207,
6,56,501,566,42290,
6,57,755,772,29135,
6,58,771,810,28651,
6,59,632,703,51756,
6,60,612,633,25696,
6,61,729,747,28653,
6,62,526,543,21078,
6,63,508,534,63504,
6,64,495,512,63293,
6,65,666,683,51847,
6,66,795,884,86528,
6,67,508,585,63382,
6,68,458,474,42027,
6,69,500,609,42298,
6,70,552,576,25900,
6,71,740,759,57763,
6,72,638,658,51756,
6,73,776,793,87089,
6,74,630,650,51561,
6,75,624,641,51616,
6,76,503,520,63324,
6,77,764,780,86373,
6,78,532,549,63055,
6,79,704,722,77742,
6,80,813,834,86438,
6,81,707,725,77754,
6,82,821,888,25825,
6,83,644,762,42217,
6,84,617,639,51432,
6,85,726,745,29000,
6,86,779,800,86465,
6,87,743,761,57243,
6,88,668,686,51909,
6,89,627,643,77545,
6,90,510,528,21038,
6,91,504,528,21066,
6,92,517,564,21129,
6,93,748,766,28607,
6,94,793,809,28624,
6,95,516,533,63110,
6,96,528,545,41981,
6,97,597,634,78102,
6,98,513,587,57506,
